"Source","Target","score"
"ZNF713","AUTISM",1
"SIN3A","AUTISM",1
"COL11A1","AUTISM",1
"SCTR","AUTISM",0.952777777777778
"PRR12","AUTISM",0.905138888888889
"RPL10","AUTISM",0.887364583333333
"ADNP","AUTISM",0.681399754776703
"IQSEC2","AUTISM",0.681388888888889
"SLC9A6","AUTISM",0.678247865221088
"NSD1","AUTISM",0.672870833333333
"CDKL5","AUTISM",0.672782650179516
"BPTF","AUTISM",0.6667
"TMCO1","AUTISM",0.665
"FGF14","AUTISM",0.665
"PTEN","AUTISM",0.570843409038566
"TRIM33","AUTISM",0.519672184782283
"PDE3B","BIPOLAR DISORDER",1
"PDE10A","BIPOLAR DISORDER",1
"PDE4A","BIPOLAR DISORDER",1
"PDE2A","BIPOLAR DISORDER",1
"PDE9A","BIPOLAR DISORDER",1
"PDE4D","BIPOLAR DISORDER",1
"PDE7A","BIPOLAR DISORDER",1
"PDE6G","BIPOLAR DISORDER",1
"PDE7B","BIPOLAR DISORDER",1
"PDE6D","BIPOLAR DISORDER",1
"PDE1C","BIPOLAR DISORDER",1
"PDE6H","BIPOLAR DISORDER",1
"PDE6B","BIPOLAR DISORDER",1
"ALOX5AP","BIPOLAR DISORDER",1
"PDE6A","BIPOLAR DISORDER",1
"PDE1B","BIPOLAR DISORDER",1
"PDE1A","BIPOLAR DISORDER",1
"PDE8B","BIPOLAR DISORDER",1
"SLC29A1","BIPOLAR DISORDER",1
"PDE4C","BIPOLAR DISORDER",1
"PDE6C","BIPOLAR DISORDER",1
"PDE8A","BIPOLAR DISORDER",1
"FADS2","BIPOLAR DISORDER",0.599211695980177
"TENM4","BIPOLAR DISORDER",0.574935768705358
"LMAN2L","BIPOLAR DISORDER",0.571405351953828
"NCAN","BIPOLAR DISORDER",0.552443336914705
"SYNE1","BIPOLAR DISORDER",0.541468979011985
"FADS1","BIPOLAR DISORDER",0.524031415152992
"NOTCH3","DEMENTIA",1
"PRNP","DEMENTIA",1
"F2","DEMENTIA",1
"VKORC1","DEMENTIA",1
"COL4A1","DEMENTIA",1
"SNCB","DEMENTIA",0.626163119668444
"FAN1","HUNTINGTON DISEASE",0.6209
"LRRK2","PARKINSON'S DISEASE",1
"ATP13A2","PARKINSON'S DISEASE",1
"PARK7","PARKINSON'S DISEASE",1
"PINK1","PARKINSON'S DISEASE",1
"PRKN","PARKINSON'S DISEASE",1
"PLA2G6","PARKINSON'S DISEASE",1
"DNAJC6","PARKINSON'S DISEASE",1
"FBXO7","PARKINSON'S DISEASE",1
"VPS35","PARKINSON'S DISEASE",1
"VPS13C","PARKINSON'S DISEASE",1
"UCHL1","PARKINSON'S DISEASE",1
"TMEM175","PARKINSON'S DISEASE",1
"HTRA2","PARKINSON'S DISEASE",1
"AVPR1B","PARKINSON'S DISEASE",1
"EIF4G1","PARKINSON'S DISEASE",1
"ADORA2A","PARKINSON'S DISEASE",1
"CHRM3","PARKINSON'S DISEASE",1
"AVPR1A","PARKINSON'S DISEASE",1
"AVPR2","PARKINSON'S DISEASE",1
"CLCN2","PARKINSON'S DISEASE",1
"CHCHD2","PARKINSON'S DISEASE",0.961376377158951
"BST1","PARKINSON'S DISEASE",0.95935326744856
"MCCC1","PARKINSON'S DISEASE",0.917863625310951
"HRH3","PARKINSON'S DISEASE",0.889074651943185
"GCH1","PARKINSON'S DISEASE",0.888636659357482
"CCDC62","PARKINSON'S DISEASE",0.87762386767269
"RIT2","PARKINSON'S DISEASE",0.86857072222529
"NUCKS1","PARKINSON'S DISEASE",0.838714348799038
"DNAJC13","PARKINSON'S DISEASE",0.816508346293797
"FAM47E","PARKINSON'S DISEASE",0.81398571944073
"FAM47E-STBD1","PARKINSON'S DISEASE",0.80528571944073
"GPNMB","PARKINSON'S DISEASE",0.795052416666667
"INPP5F","PARKINSON'S DISEASE",0.784311016760614
"ADORA1","PARKINSON'S DISEASE",0.776022222222222
"ADORA3","PARKINSON'S DISEASE",0.772222222222222
"ADORA2B","PARKINSON'S DISEASE",0.772222222222222
"GAK","PARKINSON'S DISEASE",0.749906972254917
"STK39","PARKINSON'S DISEASE",0.721705970541504
"PRIM1","PARKINSON'S DISEASE",0.7
"POLE","PARKINSON'S DISEASE",0.7
"POLD4","PARKINSON'S DISEASE",0.7
"POLE3","PARKINSON'S DISEASE",0.7
"PRIM2","PARKINSON'S DISEASE",0.7
"POLD2","PARKINSON'S DISEASE",0.7
"POLA1","PARKINSON'S DISEASE",0.7
"POLE2","PARKINSON'S DISEASE",0.7
"POLD3","PARKINSON'S DISEASE",0.7
"POLD1","PARKINSON'S DISEASE",0.7
"POLA2","PARKINSON'S DISEASE",0.7
"NSF","PARKINSON'S DISEASE",0.699075762107709
"TMEM229B","PARKINSON'S DISEASE",0.685779084932716
"PODXL","PARKINSON'S DISEASE",0.665
"ACMSD","PARKINSON'S DISEASE",0.662443888904948
"SH3GL2","PARKINSON'S DISEASE",0.655199450858075
