external_gene_id,Module.name,kME.CD1.turquoise,kME.CD2.blue,kME.CD3.brown,kME.CD4.yellow,kME.CD5.green,kME.CD6.red,kME.CD7.black,kME.CD8.pink,kME.CD9.magenta,kME.CD10.purple,kME.CD11.greenyellow,kME.CD12.tan,kME.CD13.salmon
SNRPF,CD0,"0,079075345","-0,43820728","0,118847418","-0,027037275","0,430090207","-0,257502357","0,423054557","-0,215249446","-0,009593138","0,390369925","0,104887088","-0,085544464","0,210805085"
ASCL1,CD4,"-0,250327711","0,02097059","0,190197829","0,574556911","-0,26586947","0,069976486","0,034453495","0,012212629","0,030701266","-0,386333741","0,093209294","0,126402848","-0,301312825"
RITA1,CD1,"0,428977113","0,161167978","-0,462298486","-0,399386515","0,185252003","0,144101673","-0,261527365","0,275263835","0,009716344","0,385325198","-0,149199121","0,012600051","0,36935395"
GIT2,CD0,"0,202959521","-0,205906909","0,005868355","0,008262355","0,055067651","-0,045254096","0,040277335","0,087276245","0,214561875","0,1106137","0,001615453","0,115438368","0,187778184"
NUPL1,CD5,"0,269660979","-0,46921029","-0,034775705","-0,24001787","0,565022761","-0,387600374","0,430454002","-0,234815224","-0,052271348","0,472220331","-0,198400979","-0,280522738","0,492242661"
MTMR6,CD5,"0,039975115","-0,491471188","0,120426986","-0,25884592","0,71421527","-0,475911377","0,673715421","-0,477789387","-0,30680019","0,435539078","-0,187819852","-0,2391999","0,488703056"
SLC46A3,CD4,"-0,078811434","-0,19060655","0,22068803","0,358887961","-0,051507005","-0,231563391","0,216271587","-0,156387656","0,136571962","-0,139845659","0,071684725","-0,002423415","-0,02293499"
SLC7A1,CD0,"0,218557902","-0,187391793","-0,013733843","-0,084847412","0,209303503","-0,058325238","0,141869783","0,041007963","0,082073817","0,190894691","-0,122175581","0,159580492","0,306749787"
PDX1,CD6,"0,08075991","0,432581953","-0,22702628","0,010765949","-0,365721584","0,623298456","-0,474381513","0,503892807","0,155328011","-0,167987748","-0,013883135","0,177103096","-0,173353053"
SUOX,CD4,"-0,039145451","0,007341181","0,111219098","0,407996976","-0,203166177","-0,000654315","0,010114142","0,052815583","0,154871883","-0,226172541","-0,001962711","0,124618011","-0,139765991"
TARBP2,CD0,"0,017571412","0,298412464","-0,01194528","-0,021144688","-0,148876876","0,249941393","-0,172821713","0,203766738","0,10911736","-0,037763795","0,06353183","0,166470586","-0,123164744"
RDH16,CD2,"-0,14805642","0,538506475","-0,095233569","-0,041176702","-0,293910533","0,418236184","-0,311457174","0,190937759","-0,07438198","-0,227581124","0,040508124","0,041183422","-0,200805436"
ACVRL1,CD0,"-0,128165573","0,413280262","-0,140722152","0,11534043","-0,294478684","0,34070044","-0,282707233","0,200131089","0,032798241","-0,239122488","0,145633071","0,257184158","-0,214412144"
NABP2,CD1,"0,44614649","-0,137337538","-0,201620942","-0,263651439","0,236184133","0,036154851","-0,056698703","0,233024241","0,161064096","0,37973932","-0,17933912","-0,059385408","0,380359464"
N4BP2L1,CD0,"0,087331879","-0,37499168","-0,07027632","-0,086912475","0,491077382","-0,442419981","0,425268171","-0,342369566","-0,145375386","0,298444749","-0,064543031","-0,113976285","0,359950781"
SMARCC2,CD1,"0,58656193","-0,07210885","-0,239549027","-0,087503111","-0,010499245","0,038168771","-0,247973015","0,425589466","0,508023474","0,21927588","-0,186368056","-0,014916551","0,280305541"
BRCA2,CD0,"-0,03806391","0,147192805","-0,052866122","0,079574658","-0,15055176","0,070334802","-0,15100082","0,059437981","0,041862843","-0,088603312","0,047319769","0,011998245","-0,123333668"
MAP3K12,CD1,"0,557466842","-0,046121653","-0,30409649","-0,210284622","0,069598551","0,007430879","-0,227193494","0,37147054","0,351264494","0,284695566","-0,169748882","0,008215985","0,352243027"
ITGB7,CD6,"-0,062659235","0,319837609","-0,101064732","0,040144836","-0,291126522","0,532428051","-0,309057817","0,344810072","0,071181153","-0,15441808","0,167199747","0,194543491","-0,233973359"
GALNT6,CD3,"-0,14525345","-0,065913875","0,587485317","0,02208988","-0,0823839","-0,018646788","0,151594676","-0,076935692","0,123985517","-0,007230095","0,055204832","-0,149448288","-0,196674884"
CSAD,CD3,"-0,136402849","-0,197439336","0,344498877","0,066318965","0,029579435","-0,278809551","0,275448337","-0,194783753","0,111081319","-0,131684899","0,034761976","-0,022455582","-0,107945831"
LMBR1L,CD0,"0,214617983","0,140810881","-0,223947886","-0,037646161","-0,157194732","0,201606755","-0,245851218","0,311023848","0,247167098","-0,012448094","-0,036446182","0,081622721","0,011939531"
C12orf10,CD1,"0,63305524","-0,172037993","-0,177539103","-0,361706757","0,384647244","-0,008860362","-0,018551421","0,251749773","0,251153558","0,66612737","-0,198969291","-0,042612735","0,529042292"
ESYT1,CD0,"0,530569182","-0,18283981","-0,128175782","-0,280555295","0,259777477","-0,11198879","-0,010398938","0,142703156","0,293369201","0,473394016","-0,144413964","0,022481217","0,533991991"
TMBIM6,CD4,"-0,268365683","-0,171225601","0,532119081","0,694408469","-0,298258039","-0,139315399","0,193770596","-0,138976731","0,223410287","-0,341154886","0,172722711","-0,105630829","-0,413261039"
LPAR6,CD11,"-0,256511309","-0,162741854","0,249976587","0,08909613","0,042865716","-0,119130028","0,244983858","-0,189822844","-0,100016159","-0,053165683","0,741693168","0,391575083","-0,218403485"
ESD,CD7,"-0,127885984","-0,367753776","0,100060964","-0,052028496","0,522658484","-0,32947242","0,494240418","-0,421324289","-0,358859769","0,357049476","0,048059181","-0,078040436","0,196114005"
RB1,CD7,"-0,232922495","-0,421648121","0,280886275","0,108209939","0,365657762","-0,528955782","0,611137777","-0,513525803","-0,227134155","0,038061388","0,247292941","-0,065972456","0,096268289"
SBNO1,CD0,"0,213136993","-0,23631706","-0,205293892","-0,325380537","0,300168382","-0,075133504","0,075111114","-0,05146887","-0,119467188","0,321834385","-0,156168837","-0,154330621","0,390656813"
VPS37B,CD9,"0,417531271","-0,100713333","0,041892076","0,126318253","-0,168049649","0,103680652","-0,168166282","0,400292021","0,574520954","0,094118005","-0,079014491","-0,040733271","-0,000334869"
RHOF,CD1,"0,425712899","0,131091846","-0,380802522","-0,263427307","0,067803858","0,259313571","-0,276890518","0,402524592","0,159520101","0,281055821","-0,225892968","-0,012134904","0,282784029"
DENR,CD0,"0,145728543","-0,483272815","-0,0302723","-0,150729508","0,604674474","-0,318003314","0,487587057","-0,267600167","-0,127401426","0,425413377","-0,152613847","-0,139526944","0,423830633"
DIAPH3,CD4,"-0,146210109","0,110053455","0,027042055","0,398281192","-0,139682412","0,119892608","0,006539347","0,052025947","-0,018086267","-0,195749672","0,018740162","0,088903856","-0,193038148"
RBM26,CD7,"-0,196069075","-0,270693586","0,129795972","-0,015676142","0,344665898","-0,417175582","0,46231995","-0,439736879","-0,29218678","0,030740794","-0,088063409","-0,083147967","0,112673484"
MBNL2,CD7,"-0,347751669","-0,338854576","0,475783316","-0,016720307","0,410191239","-0,45431609","0,704261798","-0,610448004","-0,310636588","0,033394722","-0,055679734","-0,238891256","0,134832187"
RAB20,CD0,"-0,290458313","0,335387612","-0,017878493","0,271315605","-0,325162697","0,165278348","-0,18306203","0,026364575","-0,064385521","-0,382754709","0,35797765","0,198376563","-0,355271501"
GRTP1,CD6,"-0,001313374","0,290309737","-0,137303242","0,171907088","-0,295112827","0,440318504","-0,29816521","0,350807205","0,155158654","-0,183432095","0,007260805","0,132533714","-0,213101084"
CUL4A,CD0,"-0,02343674","-0,444706596","0,302053679","0,166524132","0,283974494","-0,364287016","0,534766485","-0,274362012","0,067585866","0,103801324","0,048861136","-0,058541559","0,113307725"
SSTR1,CD1,"0,325952472","-0,118734505","-0,290197399","-0,225826659","0,3646929","-0,086615696","0,099210324","0,056899598","-0,023561669","0,363837139","-0,132855613","-0,045701143","0,324863724"
NOVA1,CD0,"0,251278366","-0,280982272","-0,104312402","-0,372785652","0,49901062","-0,224022902","0,277977162","-0,138872756","-0,12411074","0,397070483","-0,168885393","-0,085019954","0,516819669"
TMX1,CD3,"-0,52467991","-0,298843862","0,532696652","0,498179022","0,08078233","-0,397979643","0,597107304","-0,512007711","-0,196534566","-0,263646775","0,373080992","0,006254222","-0,309511481"
PELI2,CD4,"-0,42866042","-0,008668612","0,394561212","0,603503559","-0,259649666","-0,121537638","0,201645165","-0,19383277","-0,017177713","-0,45729959","0,179129616","0,083330318","-0,443152568"
RTN1,CD5,"0,370384766","-0,305309567","-0,242163602","-0,516014769","0,684348526","-0,368565498","0,280984347","-0,240760382","-0,189246589","0,624181616","-0,29210667","-0,354951631","0,715939763"
